record_id,labeler_code,determination
19afa4f5,E-12,review_required
19afa4f5,E-13,review_required
19afa4f5,E-14,gap_identified
19afa4f5,R-mqq7jo173iob,review_required
19afa4f5,R-mqxqi8i3ukt1,review_required
2850f5f4,E-12,review_required
2850f5f4,E-13,gap_identified
2850f5f4,E-14,gap_identified
2850f5f4,R-mqq7jo173iob,review_required
2850f5f4,R-mqxqi8i3ukt1,gap_identified
4039cb0f,E-12,gap_identified
4039cb0f,E-13,gap_identified
4039cb0f,E-14,gap_identified
4039cb0f,R-mqq7jo173iob,gap_identified
4039cb0f,R-mqxqi8i3ukt1,gap_identified
50340b4c,E-03,gap_identified
50340b4c,E-08,gap_identified
50340b4c,E-09,gap_identified
50340b4c,E-10,gap_identified
50340b4c,R-mqa2qg2g9gtz,review_required
50340b4c,R-mqa4a9ewsfr8,gap_identified
50340b4c,R-mqal7tzzwpy5,gap_identified
50340b4c,R-mqb8ye82rcmw,gap_identified
50340b4c,R-mqbsllcmqh6n,gap_identified
50340b4c,R-mqc70xbh96yc,gap_identified
50340b4c,R-mqcfb4p9lbji,gap_identified
50340b4c,R-mqgufe1fqup8,gap_identified
50340b4c,R-mqifd9ia9dsq,gap_identified
50340b4c,R-mqkvqo8kcu04,gap_identified
50340b4c,R-mqmhtalpwuhb,gap_identified
686028be,E-03,ready
686028be,E-08,ready
686028be,E-09,ready
686028be,E-10,ready
686028be,R-mqa2qg2g9gtz,ready
686028be,R-mqal7tzzwpy5,review_required
686028be,R-mqb8ye82rcmw,ready
686028be,R-mqbsllcmqh6n,review_required
686028be,R-mqc70xbh96yc,ready
686028be,R-mqcfb4p9lbji,ready
686028be,R-mqgufe1fqup8,gap_identified
686028be,R-mqifd9ia9dsq,ready
686028be,R-mqkvqo8kcu04,review_required
686028be,R-mqmhtalpwuhb,ready
72db33df,E-03,gap_identified
72db33df,E-08,gap_identified
72db33df,E-09,gap_identified
72db33df,E-10,gap_identified
72db33df,R-mqa2qg2g9gtz,review_required
72db33df,R-mqal7tzzwpy5,gap_identified
72db33df,R-mqb8ye82rcmw,gap_identified
72db33df,R-mqbsllcmqh6n,gap_identified
72db33df,R-mqc70xbh96yc,gap_identified
72db33df,R-mqcfb4p9lbji,gap_identified
72db33df,R-mqgufe1fqup8,gap_identified
72db33df,R-mqifd9ia9dsq,gap_identified
72db33df,R-mqkvqo8kcu04,gap_identified
72db33df,R-mqmhtalpwuhb,gap_identified
844cbe50,E-03,gap_identified
844cbe50,E-08,gap_identified
844cbe50,E-09,gap_identified
844cbe50,E-10,gap_identified
844cbe50,R-mqa2qg2g9gtz,review_required
844cbe50,R-mqa4a9ewsfr8,gap_identified
844cbe50,R-mqal7tzzwpy5,gap_identified
844cbe50,R-mqb8ye82rcmw,gap_identified
844cbe50,R-mqbsllcmqh6n,gap_identified
844cbe50,R-mqc70xbh96yc,gap_identified
844cbe50,R-mqcfb4p9lbji,gap_identified
844cbe50,R-mqgufe1fqup8,gap_identified
844cbe50,R-mqifd9ia9dsq,gap_identified
844cbe50,R-mqkvqo8kcu04,gap_identified
844cbe50,R-mqmhtalpwuhb,gap_identified
abc83ab7,E-03,review_required
abc83ab7,E-08,ready
abc83ab7,E-09,ready
abc83ab7,E-10,review_required
abc83ab7,R-mqa2qg2g9gtz,review_required
abc83ab7,R-mqa4a9ewsfr8,gap_identified
abc83ab7,R-mqal7tzzwpy5,gap_identified
abc83ab7,R-mqb8ye82rcmw,ready
abc83ab7,R-mqbsllcmqh6n,gap_identified
abc83ab7,R-mqc70xbh96yc,review_required
abc83ab7,R-mqcfb4p9lbji,review_required
abc83ab7,R-mqgufe1fqup8,gap_identified
abc83ab7,R-mqifd9ia9dsq,review_required
abc83ab7,R-mqkvqo8kcu04,review_required
abc83ab7,R-mqmhtalpwuhb,ready
bcee7df1,E-12,gap_identified
bcee7df1,E-13,gap_identified
bcee7df1,E-14,gap_identified
bcee7df1,R-mqq7jo173iob,gap_identified
bcee7df1,R-mqxqi8i3ukt1,gap_identified
e726a61c,E-11,gap_identified
e726a61c,E-12,gap_identified
e726a61c,E-13,gap_identified
e726a61c,E-14,gap_identified
e726a61c,R-mqq7jo173iob,gap_identified
e726a61c,R-mqxqi8i3ukt1,gap_identified
