rec	coder	det	is_expert
19afa4f5	E-12	review_required	true
19afa4f5	E-13	review_required	true
19afa4f5	E-14	gap_identified	true
19afa4f5	R-mqq7jo173iob	review_required	false
19afa4f5	R-mqxqi8i3ukt1	review_required	false
2850f5f4	E-12	review_required	true
2850f5f4	E-13	gap_identified	true
2850f5f4	E-14	gap_identified	true
2850f5f4	R-mqq7jo173iob	review_required	false
2850f5f4	R-mqxqi8i3ukt1	gap_identified	false
4039cb0f	E-12	gap_identified	true
4039cb0f	E-13	gap_identified	true
4039cb0f	E-14	gap_identified	true
4039cb0f	R-mqq7jo173iob	gap_identified	false
4039cb0f	R-mqxqi8i3ukt1	gap_identified	false
50340b4c	E-03	gap_identified	true
50340b4c	E-08	gap_identified	true
50340b4c	E-09	gap_identified	true
50340b4c	E-10	gap_identified	true
50340b4c	R-mqa2qg2g9gtz	review_required	false
50340b4c	R-mqa4a9ewsfr8	gap_identified	false
50340b4c	R-mqal7tzzwpy5	gap_identified	false
50340b4c	R-mqb8ye82rcmw	gap_identified	false
50340b4c	R-mqbsllcmqh6n	gap_identified	false
50340b4c	R-mqc70xbh96yc	gap_identified	false
50340b4c	R-mqcfb4p9lbji	gap_identified	false
50340b4c	R-mqgufe1fqup8	gap_identified	false
50340b4c	R-mqifd9ia9dsq	gap_identified	false
50340b4c	R-mqkvqo8kcu04	gap_identified	false
50340b4c	R-mqmhtalpwuhb	gap_identified	false
686028be	E-03	ready	true
686028be	E-08	ready	true
686028be	E-09	ready	true
686028be	E-10	ready	true
686028be	R-mqa2qg2g9gtz	ready	false
686028be	R-mqal7tzzwpy5	review_required	false
686028be	R-mqb8ye82rcmw	ready	false
686028be	R-mqbsllcmqh6n	review_required	false
686028be	R-mqc70xbh96yc	ready	false
686028be	R-mqcfb4p9lbji	ready	false
686028be	R-mqgufe1fqup8	gap_identified	false
686028be	R-mqifd9ia9dsq	ready	false
686028be	R-mqkvqo8kcu04	review_required	false
686028be	R-mqmhtalpwuhb	ready	false
72db33df	E-03	gap_identified	true
72db33df	E-08	gap_identified	true
72db33df	E-09	gap_identified	true
72db33df	E-10	gap_identified	true
72db33df	R-mqa2qg2g9gtz	review_required	false
72db33df	R-mqal7tzzwpy5	gap_identified	false
72db33df	R-mqb8ye82rcmw	gap_identified	false
72db33df	R-mqbsllcmqh6n	gap_identified	false
72db33df	R-mqc70xbh96yc	gap_identified	false
72db33df	R-mqcfb4p9lbji	gap_identified	false
72db33df	R-mqgufe1fqup8	gap_identified	false
72db33df	R-mqifd9ia9dsq	gap_identified	false
72db33df	R-mqkvqo8kcu04	gap_identified	false
72db33df	R-mqmhtalpwuhb	gap_identified	false
844cbe50	E-03	gap_identified	true
844cbe50	E-08	gap_identified	true
844cbe50	E-09	gap_identified	true
844cbe50	E-10	gap_identified	true
844cbe50	R-mqa2qg2g9gtz	review_required	false
844cbe50	R-mqa4a9ewsfr8	gap_identified	false
844cbe50	R-mqal7tzzwpy5	gap_identified	false
844cbe50	R-mqb8ye82rcmw	gap_identified	false
844cbe50	R-mqbsllcmqh6n	gap_identified	false
844cbe50	R-mqc70xbh96yc	gap_identified	false
844cbe50	R-mqcfb4p9lbji	gap_identified	false
844cbe50	R-mqgufe1fqup8	gap_identified	false
844cbe50	R-mqifd9ia9dsq	gap_identified	false
844cbe50	R-mqkvqo8kcu04	gap_identified	false
844cbe50	R-mqmhtalpwuhb	gap_identified	false
abc83ab7	E-03	review_required	true
abc83ab7	E-08	ready	true
abc83ab7	E-09	ready	true
abc83ab7	E-10	review_required	true
abc83ab7	R-mqa2qg2g9gtz	review_required	false
abc83ab7	R-mqa4a9ewsfr8	gap_identified	false
abc83ab7	R-mqal7tzzwpy5	gap_identified	false
abc83ab7	R-mqb8ye82rcmw	ready	false
abc83ab7	R-mqbsllcmqh6n	gap_identified	false
abc83ab7	R-mqc70xbh96yc	review_required	false
abc83ab7	R-mqcfb4p9lbji	review_required	false
abc83ab7	R-mqgufe1fqup8	gap_identified	false
abc83ab7	R-mqifd9ia9dsq	review_required	false
abc83ab7	R-mqkvqo8kcu04	review_required	false
abc83ab7	R-mqmhtalpwuhb	ready	false
bcee7df1	E-12	gap_identified	true
bcee7df1	E-13	gap_identified	true
bcee7df1	E-14	gap_identified	true
bcee7df1	R-mqq7jo173iob	gap_identified	false
bcee7df1	R-mqxqi8i3ukt1	gap_identified	false
e726a61c	E-11	gap_identified	true
e726a61c	E-12	gap_identified	true
e726a61c	E-13	gap_identified	true
e726a61c	E-14	gap_identified	true
e726a61c	R-mqq7jo173iob	gap_identified	false
e726a61c	R-mqxqi8i3ukt1	gap_identified	false
